"event","cutoff","sensitivity","specificity","f1_score","c_index"
"T2D",0.1,"1 (1, 1)","0 (0, 0)","0.048 (0.046, 0.05)","NaN (NA, NA)"
"T2D",0.25,"1 (1, 1)","0 (0, 0)","0.048 (0.046, 0.05)","NaN (NA, NA)"
"T2D",0.5,"1 (1, 1)","0 (0, 0)","0.048 (0.046, 0.05)","0.848 (0.841, 0.855)"
"T2D",0.75,"1 (1, 1)","0 (0, 0)","0.048 (0.046, 0.05)","NaN (NA, NA)"
"T2D",0.9,"1 (1, 1)","0 (0, 0.002)","0.048 (0.046, 0.05)","NaN (NA, NA)"
"MARD",0.1,"1 (1, 1)","0 (0, 0)","0.014 (0.013, 0.015)","NA (NA, NA)"
"MARD",0.25,"1 (1, 1)","0 (0, 0)","0.014 (0.013, 0.015)","NA (NA, NA)"
"MARD",0.5,"1 (1, 1)","0 (0, 0.003)","0.014 (0.013, 0.015)","0.849 (0.834, 0.864)"
"MARD",0.75,"1 (0.996, 1)","0.001 (0, 0.013)","0.014 (0.013, 0.015)","NA (NA, NA)"
"MARD",0.9,"0.999 (0.99, 1)","0.003 (0, 0.029)","0.014 (0.013, 0.015)","NA (NA, NA)"
"MOD",0.1,"1 (1, 1)","0.074 (0.034, 0.129)","0.028 (0.026, 0.03)","NA (NA, NA)"
"MOD",0.25,"1 (0.996, 1)","0.116 (0.064, 0.209)","0.03 (0.027, 0.033)","NA (NA, NA)"
"MOD",0.5,"0.997 (0.985, 1)","0.178 (0.094, 0.325)","0.032 (0.028, 0.037)","0.882 (0.875, 0.889)"
"MOD",0.75,"0.991 (0.96, 1)","0.251 (0.129, 0.43)","0.035 (0.03, 0.043)","NA (NA, NA)"
"MOD",0.9,"0.981 (0.923, 1)","0.317 (0.174, 0.518)","0.038 (0.031, 0.048)","NA (NA, NA)"
"SIDD",0.1,"1 (1, 1)","0.003 (0, 0.015)","0.001 (0.001, 0.001)","NA (NA, NA)"
"SIDD",0.25,"1 (1, 1)","0.004 (0, 0.027)","0.001 (0.001, 0.001)","NA (NA, NA)"
"SIDD",0.5,"1 (1, 1)","0.005 (0, 0.037)","0.001 (0.001, 0.001)","0.966 (0.944, 0.982)"
"SIDD",0.75,"1 (1, 1)","0.006 (0, 0.051)","0.001 (0.001, 0.001)","NA (NA, NA)"
"SIDD",0.9,"1 (1, 1)","0.006 (0, 0.062)","0.001 (0.001, 0.001)","NA (NA, NA)"
"SIRD",0.1,"1 (1, 1)","0 (0, 0.001)","0.008 (0.007, 0.008)","NA (NA, NA)"
"SIRD",0.25,"1 (1, 1)","0 (0, 0.001)","0.008 (0.007, 0.008)","NA (NA, NA)"
"SIRD",0.5,"1 (1, 1)","0 (0, 0.001)","0.008 (0.007, 0.008)","0.91 (0.897, 0.924)"
"SIRD",0.75,"1 (1, 1)","0 (0, 0.002)","0.008 (0.007, 0.008)","NA (NA, NA)"
"SIRD",0.9,"1 (1, 1)","0 (0, 0.002)","0.008 (0.007, 0.008)","NA (NA, NA)"
