"model","threshold","sensitivity_mean","sensitivity_sd","specificity_mean","specificity_sd","f1_mean","f1_sd","c_index_mean","c_index_sd","cal_slope_mean","cal_slope_sd"
"mard",0.1,0,0,1,0,0,0,0.847476889920816,0.00302654910903985,1.18442376231518,0.0505631706747428
"mard",0.25,0,0,1,0,0,0,0.847476889920816,0.00302654910903985,1.18442376231518,0.0505631706747428
"mard",0.5,0,0,1,0,0,0,0.847476889920816,0.00302654910903985,1.18442376231518,0.0505631706747428
"mard",0.75,0,0,1,0,0,0,0.847476889920816,0.00302654910903985,1.18442376231518,0.0505631706747428
"mard",0.9,0,0,1,0,0,0,0.847476889920816,0.00302654910903985,1.18442376231518,0.0505631706747428
"mod",0.1,0,0,1,0,0,0,0.881140259222959,0.000927783113407406,1.03108800657489,0.0104286346074785
"mod",0.25,0,0,1,0,0,0,0.881140259222959,0.000927783113407406,1.03108800657489,0.0104286346074785
"mod",0.5,0,0,1,0,0,0,0.881140259222959,0.000927783113407406,1.03108800657489,0.0104286346074785
"mod",0.75,0,0,1,0,0,0,0.881140259222959,0.000927783113407406,1.03108800657489,0.0104286346074785
"mod",0.9,0,0,1,0,0,0,0.881140259222959,0.000927783113407406,1.03108800657489,0.0104286346074785
"overall",0.1,0,0,1,0,0,0,0.847897098610316,0.000980835928805085,1.13618470555655,0.0126713989368497
"overall",0.25,0,0,1,0,0,0,0.847897098610316,0.000980835928805085,1.13618470555655,0.0126713989368497
"overall",0.5,0,0,1,0,0,0,0.847897098610316,0.000980835928805085,1.13618470555655,0.0126713989368497
"overall",0.75,0,0,1,0,0,0,0.847897098610316,0.000980835928805085,1.13618470555655,0.0126713989368497
"overall",0.9,0,0,1,0,0,0,0.847897098610316,0.000980835928805085,1.13618470555655,0.0126713989368497
"sidd",0.1,0,0,1,0,0,0,0.960616033485638,0.00643796570466213,0.413907016003272,0.0104771373448439
"sidd",0.25,0,0,1,0,0,0,0.960616033485638,0.00643796570466213,0.413907016003272,0.0104771373448439
"sidd",0.5,0,0,1,0,0,0,0.960616033485638,0.00643796570466213,0.413907016003272,0.0104771373448439
"sidd",0.75,0,0,1,0,0,0,0.960616033485638,0.00643796570466213,0.413907016003272,0.0104771373448439
"sidd",0.9,0,0,1,0,0,0,0.960616033485638,0.00643796570466213,0.413907016003272,0.0104771373448439
"sird",0.1,0,0,1,0,0,0,0.907762197045052,0.00202907910108379,0.150989690560094,0.00381688209145337
"sird",0.25,0,0,1,0,0,0,0.907762197045052,0.00202907910108379,0.150989690560094,0.00381688209145337
"sird",0.5,0,0,1,0,0,0,0.907762197045052,0.00202907910108379,0.150989690560094,0.00381688209145337
"sird",0.75,0,0,1,0,0,0,0.907762197045052,0.00202907910108379,0.150989690560094,0.00381688209145337
"sird",0.9,0,0,1,0,0,0,0.907762197045052,0.00202907910108379,0.150989690560094,0.00381688209145337
