term,estimate,std.error,statistic,p.value,model,outcome
studycardia,-2.3187802261861017,0.09723226770316432,-23.84784682040939,1.0660941914738762e-125,m0,mard
studydppos,4.344512112014667,0.08588799882815777,50.58345952042777,0,m0,mard
studyjhs,3.750767709196808,0.2079291278813077,18.038683408213306,9.682328495561266e-73,m0,mard
studymesa,2.8943521367949985,0.140284798681529,20.631972701231042,1.4174806685016123e-94,m0,mard
studyjhs,-0.8348336564276801,0.23118695472020193,-3.6110759685296787,3.0492931881596e-4,m1,mard
female,-0.37193309707326794,0.02344257130229842,-15.86571252261913,1.0946806120490196e-56,m1,mard
race_ethNH Black,0.3919133231248404,0.03941325319755973,9.943693842281096,2.6867541613959977e-23,m1,mard
race_ethNH Other,0.412592683217629,0.052062435880077286,7.9249592579189265,2.2822114674751542e-15,m1,mard
race_ethNH White,0.24484462901670506,0.033810272368274115,7.241723058299144,4.430197857256508e-13,m1,mard
studyjhs,-1.1092238796841536,0.3060107799846631,-3.624786942929745,2.8919976779839693e-4,m2,mard
female,-0.2369622676299373,0.039288536064715954,-6.031333599185619,1.6261210985711285e-9,m2,mard
race_ethNH Black,0.4505125677756617,0.05957770051392437,7.561764953824776,3.9763645128644886e-14,m2,mard
race_ethNH Other,0.0062028140788481494,0.07752282667978028,0.0800127439169602,0.9362271202887587,m2,mard
race_ethNH White,0.2170549812270787,0.05047816125181478,4.2999779675864325,1.708150906920502e-5,m2,mard
bmi,-0.14401725211933442,0.004287460022885349,-33.59034284882138,2.3210909926499616e-247,m2,mard
hba1c,0.09983616160327803,0.029075464358691454,3.4336910451933766,5.95422442954036e-4,m2,mard
sbp,0.02278615665447608,0.001162933741385981,19.593684354982777,1.7505201117581754e-85,m2,mard
dbp,-0.029086116145749286,0.0020175690375860106,-14.416416788666803,4.0798037597561483e-47,m2,mard
hdlc,0.005385459502435434,0.0012551078088489057,4.290834193259134,1.7800318694058155e-5,m2,mard
ldlc,-0.003238760145622347,5.31002129122143e-4,-6.099335516745839,1.065102957717655e-9,m2,mard
homa2b,-0.005404707392883055,4.5686848234989974e-4,-11.829897665700162,2.734749882527062e-32,m2,mard
homa2ir,0.023970210206653617,0.006613935555172848,3.624197727162036,2.898597970825398e-4,m2,mard
studycardia,3.1993844280625723,0.10653794953832825,30.030467471232466,3.928471978190453e-198,m0,mod
studydppos,7.885446184794745,0.1379481188246911,57.162404619781896,0,m0,mod
studyjhs,8.421952763018343,0.1418684661846315,59.36451552283496,0,m0,mod
studymesa,5.457935020330547,0.18780498635343806,29.06171516691804,1.0943979780330495e-185,m0,mod
studyjhs,0.495928559659773,0.08295688205297537,5.978148495782163,2.256879644651882e-9,m1,mod
female,0.33044637836985213,0.018893847684187316,17.48962857610047,1.718737777760911e-68,m1,mod
race_ethNH Black,0.38851174775355535,0.026101572709580613,14.884610673706709,4.1489455479410327e-50,m1,mod
race_ethNH Other,-0.03423401649278213,0.04454555451122925,-0.7685170129412635,0.44218008718087276,m1,mod
race_ethNH White,-0.007986296087946043,0.02370965559853394,-0.33683728786173794,0.7362395622958334,m1,mod
studyjhs,0.4901162408316834,0.10799055275683689,4.53851034483805,5.665301705667062e-6,m2,mod
female,0.320873997277414,0.029920780818939265,10.724118438590583,7.843137770804537e-27,m2,mod
race_ethNH Black,0.2626677407201694,0.03854174559620615,6.815149045714864,9.41660861175085e-12,m2,mod
race_ethNH Other,0.11919826436391348,0.06602562691724399,1.805333321761801,0.07102253832122975,m2,mod
race_ethNH White,0.014245655745581166,0.03479939321881671,0.4093650615114249,0.6822717757327975,m2,mod
bmi,0.05071134366594816,0.0017167084144024984,29.53987016111777,8.861342901787044e-192,m2,mod
hba1c,0.23456978669915687,0.014893546519815448,15.749760232532145,6.894220841085577e-56,m2,mod
sbp,-0.010705859989599092,0.001075529458202517,-9.954036970304193,2.421559693955416e-23,m2,mod
dbp,0.017590392636787133,0.0016156317840157492,10.887624773675325,1.3203907676818945e-27,m2,mod
hdlc,-0.008091868560186722,0.001011880783844632,-7.996859599845092,1.2763263352219595e-15,m2,mod
ldlc,-0.002197294273643438,3.707071891436041e-4,-5.927304185061954,3.0794822143675487e-9,m2,mod
homa2b,-0.0012962460044941913,2.5999726179978154e-4,-4.985614061937326,6.176532769448701e-7,m2,mod
homa2ir,0.009777763174480942,0.0026636583446215194,3.670802298734851,2.4179031309318894e-4,m2,mod
studycardia,0.43553598381307757,0.14366542116250702,3.0315992553310473,0.002432619283551498,m0,sidd
studydppos,2.732854960896195,0.2456566606435207,11.124693113295706,9.513268467090238e-29,m0,sidd
studyjhs,6.734906908808614,0.25712080766313883,26.19355068934057,3.1472950585777666e-151,m0,sidd
studymesa,4.718423100233285,0.26638536132932483,17.712771740486257,3.342020361583531e-70,m0,sidd
studyjhs,3.3537249382367684,0.27179685516346475,12.339086617539275,5.57851226540459e-35,m1,sidd
female,-1.435046932081169,0.19044108877713908,-7.5353850437208525,4.8689596138451295e-14,m1,sidd
race_ethNH Black,-0.7553977996653157,0.21889071495390175,-3.451027147608349,5.584573924467565e-4,m1,sidd
race_ethNH Other,-20.663828644026324,5177.938058460419,-0.003990744657569426,0.9968158549034263,m1,sidd
race_ethNH White,-20.132808222277728,1549.0796114281748,-0.012996625914994953,0.9896304847638028,m1,sidd
studyjhs,3.104103283699763,0.4346487715311523,7.141635930005809,9.222660872156739e-13,m2,sidd
female,-1.093647031916036,0.30605428354390696,-3.5733760013169036,3.5240816175354715e-4,m2,sidd
race_ethNH Black,-0.8404514190141619,0.3288007358977723,-2.556111733507395,0.010584912433908916,m2,sidd
race_ethNH Other,-21.29466052880904,10153.246158251386,-0.0020973253476675733,0.99832657771295,m2,sidd
race_ethNH White,-20.38280455852136,2636.702152894792,-0.007730416018412779,0.9938320818421644,m2,sidd
bmi,-0.03787064426621981,0.026565114348007957,-1.4255780633995134,0.15399017204566207,m2,sidd
hba1c,0.7934532747186475,0.1037568047212409,7.647240842182693,2.053375231085052e-14,m2,sidd
sbp,-0.003854417983364317,0.011564928643108992,-0.33328506403374886,0.7389191127047576,m2,sidd
dbp,0.0185355992066202,0.017006114994626696,1.089937308578518,0.27574076067490577,m2,sidd
hdlc,-0.038093001895258605,0.01285901979149478,-2.962356580277923,0.0030529399936466096,m2,sidd
ldlc,-0.014332900707587332,0.0036325579870639243,-3.9456770569468977,7.957480503695762e-5,m2,sidd
homa2b,0.007992773032353375,0.00231528331626568,3.4521792543492764,5.560781683697619e-4,m2,sidd
homa2ir,-0.143801593140715,0.09099830625859431,-1.5802667000423833,0.11404580247273155,m2,sidd
studycardia,-0.3595155166943704,0.4578554001555716,-0.7852162856924109,0.432326768545645,m0,sird
studydppos,5.272723162319552,0.2633116022836818,20.02465184439128,3.3585138996383127e-89,m0,sird
studyjhs,4.663939018963415,0.5616504366057441,8.303988949335245,1.0067301012933357e-16,m0,sird
studymesa,7.7176013635083995,0.2625343022468937,29.396544746562594,6.079508096680005e-190,m0,sird
studyjhs,-0.4779768021902218,0.5823334032347263,-0.8207957838845791,0.4117626005206292,m1,sird
female,-0.4382076746233078,0.0526776901972623,-8.318657727443064,8.896505194272559e-17,m1,sird
race_ethNH Black,-0.26541272261314475,0.09100135276929457,-2.9165799687177794,0.003538919910095576,m1,sird
race_ethNH Other,-0.3382530187615431,0.12902668217296004,-2.6215741819053795,0.008752471196686774,m1,sird
race_ethNH White,0.017041907737376627,0.06744215243904973,0.25268926214622384,0.8005083462322893,m1,sird
studyjhs,0.004941512224314296,0.7162004208669871,0.006899622061562617,0.994494941759591,m2,sird
female,-0.16165606437575378,0.08485731955189309,-1.9050338288955226,0.05677567385409601,m2,sird
race_ethNH Black,-0.5357241127658463,0.138256010974034,-3.874870314799269,1.0668149815913683e-4,m2,sird
race_ethNH Other,0.010796951693202932,0.1965376169927085,0.05493580240979261,0.9561896087355607,m2,sird
race_ethNH White,0.06649865457349015,0.09924962371741161,0.6700141731804281,0.5028487551955734,m2,sird
bmi,0.016783443368206207,0.005877326305506745,2.8556255847971217,0.004295213235549138,m2,sird
hba1c,0.45334595847583525,0.06122999857926118,7.4039844683155875,1.321578883017507e-13,m2,sird
sbp,0.006330158120216046,0.0032301732639462913,1.9596961534139237,0.05003131503587939,m2,sird
dbp,-0.004766638440506506,0.004822904166347677,-0.9883336421582309,0.32298927439364433,m2,sird
hdlc,-0.021191654663058293,0.003518066741442222,-6.023664762644847,1.7051135886339542e-9,m2,sird
ldlc,-0.004610737280148589,0.00120108780099051,-3.838801190342803,1.236364869167831e-4,m2,sird
homa2b,0.011545714127277253,4.0885627529690455e-4,28.239053244059786,1.939790301176186e-175,m2,sird
homa2ir,0.0203093497583943,0.0044396526450678495,4.574535753592479,4.772771019962933e-6,m2,sird
